% GOBPID Pvalue
GO:0060322 3e-28
GO:0007417 9e-16
GO:0006355 9e-14
GO:2001141 1e-13
GO:0021543 2e-12
GO:0050767 8e-12
GO:0034654 1e-11
GO:0019219 2e-11
GO:0045944 4e-11
GO:0032502 4e-11
GO:0022008 1e-10
GO:1903508 2e-10
GO:0001764 2e-10
GO:0021983 3e-10
GO:0051254 4e-10
GO:0032501 5e-10
GO:0007275 5e-10
GO:1901576 2e-09
GO:0010628 4e-09
GO:0009889 4e-09
GO:0090304 5e-09
GO:0010557 5e-09
GO:0034645 6e-09
GO:0021879 7e-09
GO:0060255 9e-09
GO:0021798 1e-08
GO:2000026 2e-08
GO:0031328 3e-08
GO:0060041 3e-08
GO:0051173 4e-08
GO:0021772 4e-08
GO:0045595 7e-08
GO:0090596 7e-08
GO:0001654 1e-07
GO:0048664 1e-07
GO:0051961 1e-07
GO:0048513 2e-07
GO:0051962 2e-07
GO:0034641 4e-07
GO:0022037 4e-07
GO:0048665 4e-07
GO:0046483 4e-07
GO:0000904 4e-07
GO:0021537 4e-07
GO:0045165 5e-07
GO:0048858 5e-07
GO:1901360 6e-07
GO:0006725 6e-07
GO:0031175 6e-07
GO:0045665 8e-07
GO:0021779 9e-07
GO:0021780 9e-07
GO:0021854 1e-06
GO:0010720 2e-06
GO:0007411 2e-06
GO:0045666 2e-06
GO:0021954 2e-06
GO:0021978 3e-06
GO:0021511 6e-06
GO:0021695 6e-06
GO:2000177 6e-06
GO:0021796 7e-06
GO:0044708 9e-06
GO:0048562 1e-05
GO:0030855 1e-05
GO:0021846 1e-05
GO:0035881 1e-05
GO:0032989 2e-05
GO:0010721 2e-05
GO:0021885 2e-05
GO:0048708 2e-05
GO:0048666 2e-05
GO:0050789 2e-05
GO:0003326 2e-05
GO:0003329 2e-05
GO:0070593 2e-05
GO:0010629 2e-05
GO:0045685 2e-05
GO:0048593 3e-05
GO:0021522 3e-05
GO:0021527 3e-05
GO:0072091 3e-05
GO:0010001 4e-05
GO:0030182 4e-05
GO:0060579 5e-05
GO:0048646 5e-05
GO:0048869 5e-05
GO:0021510 6e-05
GO:0021530 6e-05
GO:0043583 7e-05
GO:0048522 7e-05
GO:0021542 7e-05
GO:0009953 7e-05
GO:0019827 7e-05
GO:2000113 7e-05
GO:0048870 8e-05
GO:0009890 9e-05
GO:0021575 9e-05
GO:0021795 1e-04
GO:1903507 1e-04
GO:0048663 1e-04
GO:0042472 1e-04
GO:0007610 1e-04
GO:0021895 1e-04
GO:0000122 1e-04
GO:0021761 2e-04
GO:0048714 2e-04
GO:0051253 2e-04
GO:0021764 2e-04
GO:0021797 2e-04
GO:0002052 2e-04
GO:0048863 2e-04
GO:0007548 2e-04
GO:0002088 2e-04
GO:0007492 3e-04
GO:0007224 3e-04
GO:0021516 3e-04
GO:0021960 3e-04
GO:0048852 3e-04
GO:0051172 3e-04
GO:0030900 3e-04
GO:0014003 4e-04
GO:0035883 4e-04
GO:0021877 4e-04
GO:0009790 4e-04
GO:0021540 4e-04
GO:0021902 4e-04
GO:0060235 4e-04
GO:0098700 4e-04
GO:0003002 4e-04
GO:0007409 4e-04
