% GOBPID Pvalue
GO:1900047 2e-18
GO:0050819 4e-18
GO:0061045 8e-17
GO:0030193 2e-16
GO:1903034 1e-12
GO:0050878 4e-12
GO:0055088 1e-11
GO:0010466 4e-11
GO:0031639 1e-10
GO:0046464 1e-10
GO:0070328 2e-10
GO:1900048 2e-09
GO:0042632 3e-09
GO:0050820 4e-09
GO:0006638 5e-09
GO:0051336 7e-09
GO:0019752 9e-09
GO:0097006 1e-08
GO:0051918 2e-08
GO:0034368 4e-08
GO:0072378 4e-08
GO:0033344 4e-08
GO:0006953 4e-08
GO:0015918 5e-08
GO:0010898 7e-08
GO:0042730 8e-08
GO:0043086 9e-08
GO:0072376 1e-07
GO:0006631 1e-07
GO:0051919 1e-07
GO:0034375 2e-07
GO:0090303 2e-07
GO:0006958 3e-07
GO:1905952 3e-07
GO:0045834 5e-07
GO:0071827 6e-07
GO:0008202 7e-07
GO:0009605 8e-07
GO:0043434 9e-07
GO:0045723 2e-06
GO:0030162 2e-06
GO:0071704 2e-06
GO:0048585 2e-06
GO:0090207 2e-06
GO:0006959 6e-06
GO:0034384 6e-06
GO:0030212 6e-06
GO:0051180 7e-06
GO:0010873 9e-06
GO:0034370 9e-06
GO:0034374 9e-06
GO:0050994 9e-06
GO:0046486 1e-05
GO:0035296 1e-05
GO:0044710 1e-05
GO:0034380 1e-05
GO:0051006 1e-05
GO:0044712 1e-05
GO:0032269 2e-05
GO:0050880 2e-05
GO:0033700 2e-05
GO:0034116 2e-05
GO:0044242 2e-05
GO:0010903 2e-05
GO:0010876 2e-05
GO:1902578 3e-05
GO:0016053 3e-05
GO:0043691 3e-05
GO:0006954 3e-05
GO:0050708 4e-05
GO:0034434 4e-05
GO:0006950 4e-05
GO:0044711 5e-05
GO:0051235 7e-05
GO:0003331 7e-05
GO:0043152 7e-05
GO:0016485 7e-05
GO:0046890 9e-05
GO:1901700 9e-05
GO:0051239 9e-05
GO:0044238 1e-04
GO:0010038 1e-04
GO:0048584 1e-04
GO:0022600 1e-04
GO:0006082 1e-04
GO:0034383 1e-04
GO:0060193 1e-04
GO:0097756 1e-04
GO:0010884 2e-04
GO:0048523 2e-04
GO:0090277 2e-04
GO:0016064 2e-04
GO:0072330 2e-04
GO:0019369 2e-04
GO:0031100 2e-04
GO:0065005 2e-04
GO:0008203 2e-04
GO:0002740 2e-04
GO:0006548 2e-04
GO:0019538 3e-04
GO:0042592 3e-04
GO:0070374 3e-04
GO:0065009 3e-04
GO:1902042 3e-04
GO:2000352 3e-04
GO:0002034 3e-04
GO:0010534 3e-04
GO:0010757 3e-04
GO:0034382 3e-04
GO:0002250 3e-04
GO:0002790 4e-04
GO:0046883 4e-04
GO:0007548 4e-04
GO:0040008 4e-04
GO:0006810 4e-04
GO:0070613 4e-04
GO:0009892 5e-04
GO:0008406 5e-04
